time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2025-02-24T06:27:31.000Z,0.9142499999999999,116.769045,112.5,5.2,0.0,0.0,6,gps,,,,,,,,90,
2025-02-24T06:56:35.790Z,0.9142166666666667,116.76906333333334,107.30000000000001,9.6,0.0,0.0,5,gps,,,,,,,,90,
1b0beb,,,,,,,,,,,,,,,,,
